311 Toronto,311SERVICE
Affordable Housing Office,AFFHOUSING
Arena Boards of Management,ARENAS
Association of Community Centres,COMMCENTRES
Auditor General's Office,AUDITGEN
Capital & Corporate Financing,CORPFINANCING
Children's Services,CHILDSERV
City Clerk's Office,CLERK
City Council,COUNCIL
City Manager,CITYMANAGER
City Manager's Office,CITYMANAGER
City Planning,PLANNING
City's Council,COUNCIL
Court Services,COURTSERV
Economic Development & Culture,ECONDEV
Emergency Medical Services,PARAMEDIC
Engineering & Construction Services,ENGINEERING
Exhibition Place,EXHIBPLACE
Facilities Management & Real Estate,FACILITIES
"Facilities, Real Estate, Environment & Energy",FACILITIES
Fire Services,FIRE
Fleet Services,FLEET
Heritage Toronto,HERITAGE
Information & Technology,IT
Integrity Commissioner's Office,INTEGRITYCOMM
Legal Services,LEGAL
Lobbyist Registrar,LOBBYREG
Local Appeal Body,LOCALAPPEAL
Long Term Care Homes & Services,LONGTERMHOME
Mayor's Office,MAYOR
Municipal Licensing & Standards,LICENCING
Municipal Licensing and Standards,LICENCING
Non-Program,CORPEXPENDITURES
Non-Program Expenditures,CORPEXPENDITURES
Non-Program Revenues,CORPREVENUES
Office of the Chief Financial Officer,CFO
Office of the Lobbyist Registrar,LOBBYREG
Office of the Ombudsman,OMBUDSMAN
Office of the Treasurer,TREASURER
Parking Tag Enforcement & Operations,PARKINGTAGS
"Parks, Forestry & Recreation",PARKS
"Policy, Planning, Finance & Admin",POLICYADMIN
"Policy, Planning, Finance & Administration",POLICYADMIN
"Policy, Planning, Finance and Administration",POLICYADMIN
Property Tax,PROPERTYTAX
"Shelter, Support & Housing Admin",SHELTERADMIN
"Shelter, Support & Housing Administration",SHELTERADMIN
"Social Development, Finance & Admin",SOCIALDEV
"Social Development, Finance & Administratio",SOCIALDEV
"Social Development, Finance & Administration",SOCIALDEV
Solid Waste Management Services,SOLIDWASTE
Theatres,THEATRES
Toronto & Region Conservation Authority,REGIONCONSERV
Toronto Atmospheric Fund,ATMOSPHERE
Toronto Building,BUILDINGS
Toronto Buildings,BUILDINGS
Toronto Employment & Social Services,SOCIALSERV
Toronto Paramedic Services,PARAMEDIC
Toronto Parking Authority,PARKING
Toronto Police Service,POLICE
Toronto Police Services Board,POLICEBOARD
Toronto Public Health,PUBLICHEALTH
Toronto Public Library,LIBRARY
Toronto Region Conservation Authority,REGIONCONSERV
Toronto Transit Commission - Conventional,TTCCONV
Toronto Transit Commission - Wheel Trans,TTCWHEEL
Toronto Transit Commission - Wheel-Trans,TTCWHEEL
Toronto Transit Commission-Conventional,TTCCONV
Toronto Water,WATER
Toronto Zoo,ZOO
Transportation Services,TRANSPORTATION
Yonge-Dundas Square,YONGEDUNDAS
