311SERVICE,311 Toronto,,311SERVICE
AFFHOUSING,Affordable Housing Office,,AFFHOUSING
ARENAS,Arena Boards of Management,,ARENAS
ATMOSPHERE,Toronto Atmospheric Fund,,ATMOSPHERE
AUDITGEN,Auditor General's Office,,AUDITGEN
BUILDINGS,Toronto Building,,BUILDINGS
CFO,Office of the Chief Financial Officer,,CFO
CHILDSERV,Children's Services,,CHILDSERV
CITYMANAGER,City Manager's Office,,CITYMANAGER
CLERK,City Clerk's Office,,CLERK
COMMCENTRES,Association of Community Centres,,COMMCENTRES
CORPEXPENDITURES,Non-Program Expenditures,,CORPEXPENDITURES
CORPFINANCING,Capital & Corporate Financing,,CORPFINANCING
CORPREVENUES,Non-Program Revenues,,CORPREVENUES
COUNCIL,City Council,,COUNCIL
COURTSERV,Court Services,,COURTSERV
ECONDEV,Economic Development & Culture,,ECONDEV
ENGINEERING,Engineering & Construction Services,,ENGINEERING
EXHIBPLACE,Exhibition Place,,EXHIBPLACE
FACILITIES,"Facilities, Real Estate, Environment & Energy",,FACILITIES
FIRE,Fire Services,,FIRE
FLEET,Fleet Services,,FLEET
HERITAGE,Heritage Toronto,,HERITAGE
INTEGRITYCOMM,Integrity Commissioner's Office,,INTEGRITYCOMM
IT,Information & Technology,,IT
LEGAL,Legal Services,,LEGAL
LIBRARY,Toronto Public Library,,LIBRARY
LICENCING,Municipal Licensing & Standards,,LICENCING
LOBBYREG,Office of the Lobbyist Registrar,,LOBBYREG
LOCALAPPEAL,Local Appeal Body,,LOCALAPPEAL
LONGTERMHOME,Long Term Care Homes & Services,,LONGTERMHOME
MAYOR,Mayor's Office,,MAYOR
OMBUDSMAN,Office of the Ombudsman,,OMBUDSMAN
PARAMEDIC,Toronto Paramedic Services,,PARAMEDIC
PARKING,Toronto Parking Authority,,PARKING
PARKS,"Parks, Forestry & Recreation",,PARKS
PLANNING,City Planning,,PLANNING
POLICE,Toronto Police Service,,POLICE
POLICEBOARD,Toronto Police Services Board,,POLICEBOARD
POLICYADMIN,"Policy, Planning, Finance & Administration",,POLICYADMIN
PROPERTYTAX,Property Tax,,PROPERTYTAX
PUBLICHEALTH,Toronto Public Health,,PUBLICHEALTH
REGIONCONSERV,Toronto & Region Conservation Authority,,REGIONCONSERV
SHELTERADMIN,"Shelter, Support & Housing Administration",,SHELTERADMIN
SOCIALDEV,"Social Development, Finance & Administration",,SOCIALDEV
SOCIALSERV,Toronto Employment & Social Services,,SOCIALSERV
SOLIDWASTE,Solid Waste Management Services,,SOLIDWASTE
THEATRES,Theatres,,THEATRES
TRANSPORTATION,Transportation Services,,TRANSPORTATION
TREASURER,Office of the Treasurer,,TREASURER
TTCCONV,Toronto Transit Commission - Conventional,,TTCCONV
TTCWHEEL,Toronto Transit Commission - Wheel Trans,,TTCWHEEL
WATER,Toronto Water,,WATER
YONGEDUNDAS,Yonge-Dundas Square,,YONGEDUNDAS
ZOO,Toronto Zoo,,ZOO
