Contribution From Reserves/Reserve Funds,930A
Contribution from Reserves/Reserve Funds,930A
Federal Subsidies,810A
Inter-Divisional Recoveries,750A
Licences & Permits Revenue,860A
Licences and Permits Revenue,860A
Other Subsidies,820A
Property Tax,940A
Provincial Subsidies,805A
Special Levy for Scarborough Subway,940A
Special Levy for Scarborough Subway (Reserve Contribution),940A
Sundry and Other Revenues,940A
Transfers From Capital,920A
Transfers from Capital,920A
User Fees & Donations,850A
User Fees and Donations,850A
